timestamp,node_name,ip,network_type,state,latency,fails
2025-01-01 00:00:00,node_1,192.168.1.60,wifi,UP,52.0,0
2025-01-01 00:00:30,node_1,192.168.1.221,wifi,UP,53.0,0
2025-01-01 00:01:00,node_1,192.168.1.102,wifi,UP,54.0,0
2025-01-01 00:01:30,node_1,192.168.1.219,router,UP,57.0,0
2025-01-01 00:02:00,node_1,192.168.1.246,wifi,UP,54.0,0
2025-01-01 00:02:30,node_1,192.168.1.37,wifi,UP,54.0,0
2025-01-01 00:03:00,node_1,192.168.1.125,router,UP,61.0,0
2025-01-01 00:03:30,node_1,192.168.1.87,router,UP,59.0,0
2025-01-01 00:04:30,node_1,192.168.1.137,router,DEGRADED,154.0,1
2025-01-01 00:05:00,node_1,192.168.1.186,router,DEGRADED,237.0,2
2025-01-01 00:05:30,node_1,192.168.1.188,wifi,DOWN,635.0,3
2025-01-01 00:06:00,node_1,192.168.1.45,ethernet,DOWN,1018.0,4
2025-01-01 00:06:30,node_1,192.168.1.21,ethernet,DOWN,1396.0,5
2025-01-01 00:07:00,node_1,192.168.1.74,wifi,DOWN,1871.0,6
2025-01-01 00:07:00,node_1,192.168.1.142,wifi,UP,77.0,0
2025-01-01 00:07:30,node_1,192.168.1.116,wifi,UP,75.0,0
2025-01-01 00:08:00,node_1,192.168.1.148,router,UP,73.0,0
2025-01-01 00:08:30,node_1,192.168.1.226,wifi,UP,69.0,0
2025-01-01 00:09:00,node_1,192.168.1.30,ethernet,UP,74.0,0
2025-01-01 00:09:30,node_1,192.168.1.6,wifi,UP,79.0,0
2025-01-01 00:10:00,node_1,192.168.1.68,ethernet,UP,75.0,0
2025-01-01 00:10:30,node_1,192.168.1.61,ethernet,UP,79.0,0
2025-01-01 00:11:00,node_1,192.168.1.249,wifi,UP,80.0,0
2025-01-01 00:11:30,node_1,192.168.1.115,ethernet,UP,75.0,0
2025-01-01 00:12:00,node_1,192.168.1.48,router,UP,78.0,0
2025-01-01 00:12:30,node_1,192.168.1.18,router,UP,79.0,0
2025-01-01 00:13:00,node_1,192.168.1.91,router,UP,75.0,0
2025-01-01 00:13:30,node_1,192.168.1.158,wifi,UP,75.0,0
2025-01-01 00:14:00,node_1,192.168.1.169,router,UP,79.0,0
2025-01-01 00:14:30,node_1,192.168.1.32,ethernet,UP,85.0,0
2025-01-01 00:15:00,node_1,192.168.1.241,wifi,UP,85.0,0
2025-01-01 00:15:30,node_1,192.168.1.134,router,UP,83.0,0
2025-01-01 00:16:00,node_1,192.168.1.110,router,UP,90.0,0
2025-01-01 00:16:30,node_1,192.168.1.209,wifi,UP,89.0,0
2025-01-01 00:17:00,node_1,192.168.1.134,wifi,UP,93.0,0
2025-01-01 00:17:30,node_1,192.168.1.65,router,UP,89.0,0
